total_reward,mean_reward
-1076.7437140895947,-0.8972864284079957
-399.8869129643609,-0.3332390941369674
-349.5922932774336,-0.291326911064528
-294.44798410075146,-0.24537332008395954
-271.10363685766674,-0.22591969738138895
-222.10929106526427,-0.18509107588772022
-198.62031580406273,-0.16551692983671895
-136.2680837602934,-0.11355673646691117
-121.26721949009934,-0.10105601624174945
-132.49315322846346,-0.11041096102371954
-109.30745576403088,-0.09108954647002573
-120.12030651655019,-0.10010025543045849
-92.12375621713637,-0.07676979684761365
-112.28751782923928,-0.09357293152436606
-100.69986475958942,-0.08391655396632451
-114.64841812795322,-0.09554034843996102
-108.15871014251738,-0.09013225845209781
-98.14157740241667,-0.08178464783534722
-103.16471231979298,-0.08597059359982749
-104.72256420434344,-0.08726880350361954
-134.68739879554587,-0.11223949899628823
-106.66952218711016,-0.08889126848925846
-102.31760727499825,-0.08526467272916521
-90.31167145688212,-0.07525972621406844
-104.27664258977157,-0.08689720215814298
-97.49603659988904,-0.08124669716657419
-100.58011499997741,-0.08381676249998117
-90.74748585591159,-0.07562290487992633
-122.95563565853635,-0.10246302971544696
-135.66106741124955,-0.11305088950937463
-92.21491114533765,-0.07684575928778138
-101.32499711898608,-0.08443749759915506
-81.23981912986793,-0.06769984927488994
-74.05151248118884,-0.06170959373432403
-220.2173716542723,-0.18351447637856025
-96.74529264255264,-0.0806210772021272
-92.71050377547627,-0.07725875314623022
-64.13698326090723,-0.05344748605075603
-79.10833759164657,-0.06592361465970548
-61.3737434199579,-0.05114478618329825
-70.74218392758847,-0.058951819939657056
-101.21563165865452,-0.08434635971554542
-105.13419245652841,-0.087611827047107
-123.69055664960058,-0.10307546387466715
-102.67200423950476,-0.08556000353292063
-108.68142032617702,-0.09056785027181419
-78.82771704645681,-0.06568976420538068
-85.99151567209475,-0.0716595963934123
-76.55359123409468,-0.06379465936174557
-57.39496322043024,-0.0478291360170252
-72.10993055370398,-0.06009160879475331
-82.47824079536441,-0.06873186732947034
-119.0194454037734,-0.09918287116981117
-92.66074725372985,-0.0772172893781082
-123.8347829345899,-0.10319565244549157
-92.75818217710838,-0.07729848514759032
-78.57322700943125,-0.06547768917452604
-80.12774426804336,-0.06677312022336947
-87.84269292676078,-0.07320224410563397
-117.77799520756992,-0.0981483293396416
-92.6669984451995,-0.07722249870433291
